"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_FSU","BP_OME","BP_TAF","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KW","KZ","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PL","PT","QA","RO","RU","SA","SE","SI","SK","TM","TR","TT","UA","US","UZ","VE","ZA"
1965,1.546,432.374,106.653,312.98,"na","na",312.113,71.221,3313.952,115.033,543.647,8213.062,1446.501,12946.175,1592.286,305.674,"na",1108.116,164.189,70.517,215.494,81.432,7.726,78.083,1708.632,202.447,26.716,13.395,"na",130.738,268.464,110.57,1065.497,1466.078,84.771,40.612,"na",73.122,121.971,46.549,75.997,252.234,602.495,142.896,9.403,978.986,1705.076,108.916,"na","na",16.146,"na",20.741,"na",315.871,46.08,477.892,99.449,56.719,9.03,72.125,108.745,50.253,1.013,142.55,"na",389.574,367.955,"na",44.881,"na",69.374,35.171,"na",11522.188,"na",183.88,117.729
1966,1.656,447.271,118.206,367.428,"na","na",318.668,81.129,3548.819,119.634,594.433,9031.4,1488.975,13600.865,1687.641,334.603,"na",1167.469,174.73,77.453,276.665,92.394,8.849,85.892,1915.968,230.123,35.353,13.969,"na",139.933,318.839,134.503,1145.223,1573.599,92.821,44.746,"na",80.925,117.467,52.169,79.262,281.529,622.738,155.999,10.124,1079.862,1945.192,106.34,"na","na",18.277,"na",28.176,"na",333.048,53.752,521.76,112.014,62.73,9.42,92.296,113.892,51.667,1.01,148.9,"na",392.916,415.517,"na",49.358,"na",82.812,35.418,"na",12100.347,"na",181.469,127.854
1967,1.791,459.877,125.649,401.463,"na","na",350.395,101.827,3866.126,124.384,592.08,9812.116,1537.127,14169.743,1742.917,344.54,"na",1245.557,188.007,81.569,273.294,93.369,9.622,95.499,1997.306,243.873,33.286,15.11,"na",115.715,387.672,141.249,1315.157,1696.269,109.213,53.572,"na",86.061,114.318,58.485,82.614,289.38,644.568,172.291,9.876,1198.533,2388.41,103.854,"na","na",20.106,"na",30.96,"na",357.306,53.441,533.563,116.586,65.812,9.829,93.001,124.184,56.916,1.536,169.973,"na",396.26,407.651,"na",54.869,"na",97.021,36.954,"na",12566.88,"na",185.729,138.497
1968,1.997,468.995,144.321,435.991,"na","na",405.103,120.457,4107.31,129.061,623.33,10758.95,1585.845,15112.851,1864.831,412.432,"na",1322.157,207.604,86.064,298.006,103.897,10.596,105.561,2233.023,263.77,35.374,18.009,"na",120.501,411.124,159.511,1418.657,1794.165,112.242,58.338,"na",90.229,120.646,64.806,85.908,324.334,667.633,189.27,10.517,1318.665,2765.208,101.207,"na","na",22.156,"na",33.886,"na",386.145,53.941,572.523,129.532,67.433,10.25,92.761,154.398,60.958,1.967,180.335,"na",398.553,456.648,"na",60.694,"na",116.566,37.56,"na",13404.549,"na",201.426,150.065
1969,2.219,491.751,158.687,450.961,"na","na",468.288,148.472,4376.249,134.593,637.182,12038.18,984.894,15943.197,1964.531,456.565,"na",1380.19,226.43,92.455,400.561,100.492,12.554,113.458,2520.928,316.139,37.714,18.951,"na",91.508,469.014,184.593,1641.933,1930.183,119.948,69.568,"na",101.012,130.462,70.943,89.834,392.345,35.625,207.363,9.712,1462.604,3284.039,99.208,"na","na",24.635,"na",36.785,"na",410.022,55.897,625.223,142.952,70.332,10.706,91.023,170.271,64.539,2.281,200.296,"na",403.065,515.527,"na",65.223,"na",129.44,39.487,"na",14152.985,"na",200.371,165.283
1970,2.562,447.786,175.708,496.754,"na","na",511.709,172.553,4826.363,130.695,703.585,13332.621,1044.019,16622.226,2049.962,515.878,"na",1471.58,253.719,97.838,554.224,116.066,13.262,136.729,2765.05,350.737,43.01,21.514,"na",117.094,534.015,207.461,1860.038,2030.726,129.852,74.896,"na",117.526,137.741,79.346,93.654,390.317,48.231,223.955,9.963,1658.888,3876.209,97.028,"na","na",26.154,"na",38.504,"na",440.736,61.794,699.746,161.006,82.287,11.198,95.378,181.138,91.524,1.955,217.607,"na",434.741,560.565,"na",78.574,"na",136.221,40.506,"na",14709.91,"na",209.874,179.128
1971,2.986,479.603,196.213,523.101,"na",14.006,525.208,189.469,5126.54,136.322,794.553,14008.954,1098.289,17202.171,2309.773,568.841,"na",1512.128,269.506,108.044,753.265,119.953,15.828,151.18,2888.109,346.842,48.878,23.877,"na",122.027,593.255,215.13,2022.417,2036.777,143.342,79.621,"na",132.699,142.4,87.807,97.67,416.36,51.746,246.193,10.834,1789.874,4285.448,96.249,"na","na",27.295,"na",40.638,"na",467.285,67.587,695.686,160.123,84.878,23.914,95.265,191.04,103.56,1.89,221.924,"na",441.319,529.939,"na",86.911,"na",160.354,41.859,"na",15222.758,"na",212.342,195.373
1972,3.896,478.584,211.859,532.159,"na",16.868,566.885,196.511,5547.118,132.986,860.433,14964.287,1180.176,18493.076,2481.108,655.577,"na",1588.909,275.571,114.291,864.588,134.953,17.665,164.674,3036.931,365.701,53.543,24.657,"na",139.706,622.715,227.921,2237.728,2155.154,164.901,90.006,"na",144.069,154.256,96.223,101.775,447.397,63.586,273.95,11.581,1885.622,4570.639,104.271,"na","na",28.703,"na",43.342,"na",523.353,74.931,776.911,167.511,91.02,27.214,81.645,213.607,112.387,2.244,235.969,"na",470.255,545.128,"na",94.649,"na",181.113,67.287,"na",16380.814,"na",230.822,211.965
1973,6.063,482.635,230.396,569.901,"na",18.975,597.896,207.978,5981.45,143.642,928.923,16095.132,1275.913,19564.49,2722.145,802.757,"na",1682.379,297.284,109.559,1058.323,131.227,19.007,184.897,3249.326,341.325,58.849,27.439,"na",131.569,745.247,254.964,2499.079,2228.136,192.441,93.921,"na",163.105,184.442,104.456,107.927,473.67,62.218,329.375,13.464,1982.795,5264.604,99.388,"na","na",31.84,"na",51.482,"na",564.178,81.921,808.201,171.939,96.233,23.803,95.417,238.11,123.788,2.913,265.196,"na",500.585,567.576,"na",106.295,"na",222.634,68.266,"na",17317.933,"na",257.259,234.176
1974,8.395,482.874,207.131,603.856,"na",19.626,529.36,216.242,6587.913,154.115,961.26,15153.623,1360.682,18972.759,2803.847,862.909,"na",1712.654,265.094,105.071,1216.71,144.798,16.944,188.955,2956.807,308.552,65.642,31.347,"na",145.608,775.679,223.222,2374.834,2069.287,179.702,96.436,"na",178.354,193.205,103.464,110.112,464.375,62.33,382.759,12.51,1927.031,5068.186,91.285,"na","na",28.73,"na",54.989,"na",629.457,81.673,697.977,156.366,92.23,22.088,112.086,250.002,131.245,3.99,244.407,"na",525.608,508.048,"na",108.627,"na",216.184,67.354,"na",16630.648,"na",259.425,228.391
1975,13.486,457.946,209.78,600.008,"na",23.103,503.766,229.282,6911.786,170.517,1005.942,14672.746,1316.562,18706.23,2805.149,891.089,"na",1682.42,255.994,92.021,1341.996,144.821,14.336,208.072,2874.849,305.669,72.881,30.726,"na",159.37,813.887,231.322,2181.479,1815.078,190.969,91.174,"na",202.535,221.157,101.281,113.53,476.862,63.573,449.692,11.817,1814.703,4787.587,72.645,"na","na",25.903,"na",57.299,"na",690.249,86.158,687.902,162.425,89.086,20.513,117.579,271.614,137.718,4.759,278.604,"na",407.847,509.899,"na",119.58,"na",240.46,52.187,"na",16333.561,"na",275.922,243.47
